question,answers
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
which year was maize introduced in Uganda.,1861
Which fertilizer is good for planting beans?,farmyard manure (FYM) and compost manure
which year did methane emission decline to 35%,1975
What are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
how long should you boil maize to retain protein nutrients.,"To retain the protein content, maize grains should be boiled for 30 to 45 minutes."
why is crop rotation important?, help to maintain soil health and improve crop yields over time
Is agriculture a luxury or a matter of national security?,American agriculture is a matter of national security
How can clay soil be improved?,"Both sandy and clay soils have unique characteristics that can make it challenging to sustain a variety of crops. However, there are several ways in which the properties of these soil types can be improved to make them more fertile and productive for crop growth. Add organic matter, user cover crops,crop rotation, use of soil amendments."
Which fertilizer is good for planting beans?," a fertilizer with a higher ratio of phosphorus and potassium, such as 10-20-20 or 15-30-15, would be suitable for planting beans"
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
which caterpillar pests  can cause significant damage to cassava crops.,Armyworms 
"what is the importance of soil management.
",it helps farmers to identify nutrient deficiencies or excesses in the soil and adjust their fertilization practices accordingly.
how many days does the eggs takes to hatch into larvae., two to five days
For how long should farmers keep bean seeds before they get spoiled?,"Properly stored bean seeds can last for several years. However, the exact amount of time that they can be stored depends on a variety of factors, such as the initial quality of the seed, the storage conditions, and the type of bean. In general, it is recommended to use bean seeds within two to three years of harvesting."
what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
what other measures can a farmer use to control root rot.,Use of fungicides
Name regions in which Pastoralism is practised.,"arid and semi-arid regions of Sahara, Central Asia and some parts of India."
